State,Black,Asian or Pacific Islander,Hispanic,Unknown,Native Americn or Alaskan Native,White
12 AM,355,218,136,25,14,9419
1 AM,263,127,111,14,10,5678
2 AM,84,30,49,2,4,1911
3 AM,33,4,10,2,0,598
4 AM,11,7,2,0,0,251
5 AM,18,4,1,2,0,551
6 AM,37,17,25,6,1,2912
7 AM,125,58,44,25,3,8066
8 AM,277,125,103,37,13,14101
9 AM,300,187,120,44,15,15645
10 AM,240,193,138,43,11,13327
11 AM,205,116,114,37,7,9942
12 PM,133,121,71,19,7,8605
1 PM,257,161,122,32,12,12116
2 PM,338,223,155,47,12,16083
3 PM,403,239,188,60,13,18550
4 PM,306,231,164,55,16,17495
5 PM,396,267,184,92,28,22022
6 PM,474,316,255,92,31,24316
7 PM,281,206,137,39,22,14673
8 PM,201,143,94,25,10,10068
9 PM,255,136,99,28,12,10715
10 PM,258,194,108,32,9,11458
11 PM,315,241,142,44,18,11689