State,Black,Asian or Pacific Islander,Hispanic,Unknown,Native Americn or Alaskan Native,White,Other
3:00 AM,33,5,10,2,0,597,0
1:00 AM,263,127,111,14,10,5678,0
4:00 AM,11,7,2,0,0,251,0
2:00 AM,84,30,49,2,4,1911,0
12:00 AM,355,218,136,25,14,9419,0
5:00 AM,18,4,1,2,0,551,0
11:00 PM,313,241,139,44,18,11694,0
9:00 PM,256,136,99,28,12,10714,0
10:00 PM,255,193,109,32,9,11461,0
3:00 PM,402,237,188,61,12,18553,0
1:00 PM,257,161,121,32,12,12117,0
2:00 PM,338,224,155,46,12,16083,0
11:00 AM,205,116,114,37,7,9942,0
8:00 PM,200,143,93,25,10,10070,0
8:00 AM,277,125,103,37,13,14101,0
6:00 PM,474,314,257,92,31,24316,0
9:00 AM,300,187,120,44,15,15645,0
7:00 PM,281,208,137,39,22,14671,0
5:00 PM,396,267,184,92,28,22022,0
10:00 AM,240,193,138,43,11,13327,0
4:00 PM,306,231,164,55,16,17495,0
7:00 AM,125,58,44,25,3,8066,0
12:00 PM,133,121,71,19,7,8605,0
6:00 AM,37,17,25,6,1,2912,0